Symbol,isin,bse_code,name,industry,market_cap_category,Index
BANDHANBNK,INE545U01014,541153,Bandhan Bank Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
BANKINDIA,INE084A01016,532149,Bank of India,Financial Services,mid_small_cap,nifty_midsmallcap400
MAHABANK,INE457A01014,532525,Bank of Maharashtra,Financial Services,mid_small_cap,nifty_midsmallcap400
BATAINDIA,INE176A01028,500043,Bata India Ltd.,Consumer Durables,mid_small_cap,nifty_midsmallcap400
BAYERCROP,INE462A01022,506285,Bayer Cropscience Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
BELRISE,INE894V01022,Unlisted,Belrise Industries Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
BERGEPAINT,INE463A01038,509480,Berger Paints India Ltd.,Consumer Durables,mid_small_cap,nifty_midsmallcap400
BDL,INE171Z01026,541143,Bharat Dynamics Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
BHARATFORG,INE465A01025,500493,Bharat Forge Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
BHEL,INE257A01026,500103,Bharat Heavy Electricals Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
BHARTIHEXA,INE343G01021,544162,Bharti Hexacom Ltd.,Telecommunication,mid_small_cap,nifty_midsmallcap400
BIKAJI,INE00E101023,543653,Bikaji Foods International Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
GROWW,INE0HOQ01053,Unlisted,Billionbrains Garage Ventures Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
BIOCON,INE376G01013,532523,Biocon Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
BSOFT,INE836A01035,532400,Birlasoft Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
BLUEDART,INE233B01017,526612,Blue Dart Express Ltd.,Services,mid_small_cap,nifty_midsmallcap400
BLUEJET,INE0KBH01020,544009,Blue Jet Healthcare Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
BLUESTARCO,INE472A01039,500067,Blue Star Ltd.,Consumer Durables,mid_small_cap,nifty_midsmallcap400
BBTC,INE050A01025,501425,Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
FIRSTCRY,INE02RE01045,544229,Brainbees Solutions Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
BRIGADE,INE791I01019,532929,Brigade Enterprises Ltd.,Realty,mid_small_cap,nifty_midsmallcap400
MAPMYINDIA,INE0BV301023,543425,C.E. Info Systems Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
CCL,INE421D01022,519600,CCL Products (I) Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
CESC,INE486A01021,500084,CESC Ltd.,Power,mid_small_cap,nifty_midsmallcap400
CIEINDIA,INE536H01010,532756,CIE Automotive India Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
CRISIL,INE007A01025,500092,CRISIL Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
CANFINHOME,INE477A01020,511196,Can Fin Homes Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
CANHLIFE,INE01TY01017,Unlisted,Canara HSBC Life Insurance Company Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
CAPLIPOINT,INE475E01026,524742,Caplin Point Laboratories Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
CGCL,INE180C01042,531595,Capri Global Capital Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
CARBORUNIV,INE120A01034,513375,Carborundum Universal Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
CARTRADE,INE290S01011,543333,Cartrade Tech Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
CASTROLIND,INE172A01027,500870,Castrol India Ltd.,Oil Gas & Consumable Fuels,mid_small_cap,nifty_midsmallcap400
CEATLTD,INE482A01020,500878,Ceat Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
CEMPRO,INE686A01026,Unlisted,Cemindia Projects Ltd.,Construction,mid_small_cap,nifty_midsmallcap400
CENTRALBK,INE483A01010,532885,Central Bank of India,Financial Services,mid_small_cap,nifty_midsmallcap400
CDSL,INE736A01011,540755,Central Depository Services (India) Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
CHALET,INE427F01016,542399,Chalet Hotels Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
CHAMBLFERT,INE085A01013,500085,Chambal Fertilizers & Chemicals Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
CHENNPETRO,INE178A01016,500110,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,mid_small_cap,nifty_midsmallcap400
CHOICEIN,INE102B01014,531358,Choice International Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
CHOLAHLDNG,INE149A01033,504973,Cholamandalam Financial Holdings Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
CUB,INE491A01021,532210,City Union Bank Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
CLEAN,INE227W01023,543318,Clean Science and Technology Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
COCHINSHIP,INE704P01025,540678,Cochin Shipyard Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
COFORGE,INE591G01025,532281,Coforge Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
COHANCE,INE03QK01018,Unlisted,Cohance Lifesciences Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
COLPAL,INE259A01022,500830,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
CAMS,INE596I01020,543232,Computer Age Management Services Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
CONCORDBIO,INE338H01029,543960,Concord Biotech Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
CONCOR,INE111A01025,531344,Container Corporation of India Ltd.,Services,mid_small_cap,nifty_midsmallcap400
COROMANDEL,INE169A01031,506395,Coromandel International Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
CRAFTSMAN,INE00LO01017,543276,Craftsman Automation Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
CREDITACC,INE741K01010,541770,CreditAccess Grameen Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
CROMPTON,INE299U01018,539876,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,mid_small_cap,nifty_midsmallcap400
CYIENT,INE136B01020,532175,Cyient Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
DCMSHRIRAM,INE499A01024,523367,DCM Shriram Ltd.,Diversified,mid_small_cap,nifty_midsmallcap400
DOMS,INE321T01012,544045,DOMS Industries Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
DABUR,INE016A01026,500096,Dabur India Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
DALBHARAT,INE00R701025,542216,Dalmia Bharat Ltd.,Construction Materials,mid_small_cap,nifty_midsmallcap400
DATAPATTNS,INE0IX101010,543428,Data Patterns (India) Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
DEEPAKFERT,INE501A01019,500645,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
DEEPAKNTR,INE288B01029,506401,Deepak Nitrite Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
DELHIVERY,INE148O01028,543529,Delhivery Ltd.,Services,mid_small_cap,nifty_midsmallcap400
DEVYANI,INE872J01023,543330,Devyani International Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
DIXON,INE935N01020,540699,Dixon Technologies (India) Ltd.,Consumer Durables,mid_small_cap,nifty_midsmallcap400
LALPATHLAB,INE600L01024,539524,Dr. Lal Path Labs Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
EIDPARRY,INE126A01031,500125,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
EIHOTEL,INE230A01023,500840,EIH Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
ELECON,INE205B01031,505700,Elecon Engineering Co. Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
ELGIEQUIP,INE285A01027,522074,Elgi Equipments Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
EMAMILTD,INE548C01032,531162,Emami Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
EMCURE,INE168P01015,544210,Emcure Pharmaceuticals Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
EMMVEE,INE1C6T01020,Unlisted,Emmvee Photovoltaic Power Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
ENDURANCE,INE913H01037,540153,Endurance Technologies Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
ENGINERSIN,INE510A01028,532178,Engineers India Ltd.,Construction,mid_small_cap,nifty_midsmallcap400
ERIS,INE406M01024,540596,Eris Lifesciences Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
ESCORTS,INE042A01014,500495,Escorts Kubota Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
EXIDEIND,INE302A01020,500086,Exide Industries Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
NYKAA,INE388Y01029,543384,FSN E-Commerce Ventures Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
FEDERALBNK,INE171A01029,500469,Federal Bank Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
FACT,INE188A01015,590024,Fertilisers and Chemicals Travancore Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
FINCABLES,INE235A01022,500144,Finolex Cables Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
FSL,INE684F01012,532809,Firstsource Solutions Ltd.,Services,mid_small_cap,nifty_midsmallcap400
FIVESTAR,INE128S01021,543663,Five-Star Business Finance Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
FORCEMOT,INE451A01017,500033,Force Motors Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
FORTIS,INE061F01013,532843,Fortis Healthcare Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
GVT&D,INE200A01026,522275,GE Vernova T&D India Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
GMRAIRPORT,INE776C01039,532754,GMR Airports Ltd.,Services,mid_small_cap,nifty_midsmallcap400
