Symbol,isin,bse_code,name,industry,market_cap_category,Index
KIRLOSENG,INE146L01010,533293,Kirloskar Oil Eng Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
KIMS,INE967H01025,543308,Krishna Institute of Medical Sciences Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
LTF,INE498L01015,533519,L&T Finance Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
LTTS,INE010V01017,540115,L&T Technology Services Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
LGEINDIA,INE324D01010,Unlisted,LG Electronics India Ltd.,Consumer Durables,mid_small_cap,nifty_midsmallcap400
LICHSGFIN,INE115A01026,500253,LIC Housing Finance Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
LTFOODS,INE818H01020,532783,LT Foods Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
LATENTVIEW,INE0I7C01011,543398,Latent View Analytics Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
LAURUSLABS,INE947Q01028,540222,Laurus Labs Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
THELEELA,INE0AQ201015,Unlisted,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
LEMONTREE,INE970X01018,541233,Lemon Tree Hotels Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
LENSKART,INE956O01016,Unlisted,Lenskart Solutions Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
LICI,INE0J1Y01017,543526,Life Insurance Corporation of India,Financial Services,mid_small_cap,nifty_midsmallcap400
LINDEINDIA,INE473A01011,523385,Linde India Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
LLOYDSME,INE281B01032,512455,Lloyds Metals And Energy Ltd.,Metals & Mining,mid_small_cap,nifty_midsmallcap400
LUPIN,INE326A01037,500257,Lupin Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
MMTC,INE123F01029,513377,MMTC Ltd.,Services,mid_small_cap,nifty_midsmallcap400
MRF,INE883A01011,500290,MRF Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
MGL,INE002S01010,539957,Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,mid_small_cap,nifty_midsmallcap400
M&MFIN,INE774D01024,532720,Mahindra & Mahindra Financial Services Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
MANAPPURAM,INE522D01027,531213,Manappuram Finance Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
MRPL,INE103A01014,500109,Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,mid_small_cap,nifty_midsmallcap400
MANKIND,INE634S01028,543904,Mankind Pharma Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
MARICO,INE196A01026,531642,Marico Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
MFSL,INE180A01020,500271,Max Financial Services Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
MEESHO,INE0VDM01015,Unlisted,Meesho Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
MINDACORP,INE842C01021,538962,Minda Corporation Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
MSUMI,INE0FS801015,543498,Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
MOTILALOFS,INE338I01027,532892,Motilal Oswal Financial Services Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
MPHASIS,INE356A01018,526299,MphasiS Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
MCX,INE745G01043,534091,Multi Commodity Exchange of India Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
NATCOPHARM,INE987B01026,524816,NATCO Pharma Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
NBCC,INE095N01031,534309,NBCC (India) Ltd.,Construction,mid_small_cap,nifty_midsmallcap400
NCC,INE868B01028,500294,NCC Ltd.,Construction,mid_small_cap,nifty_midsmallcap400
NHPC,INE848E01016,533098,NHPC Ltd.,Power,mid_small_cap,nifty_midsmallcap400
NLCINDIA,INE589A01014,513683,NLC India Ltd.,Power,mid_small_cap,nifty_midsmallcap400
NMDC,INE584A01023,528392,NMDC Ltd.,Metals & Mining,mid_small_cap,nifty_midsmallcap400
NSLNISP,INE0NNS01018,543768,NMDC Steel Ltd.,Metals & Mining,mid_small_cap,nifty_midsmallcap400
NTPCGREEN,INE0ONG01011,544291,NTPC Green Energy Ltd.,Power,mid_small_cap,nifty_midsmallcap400
NH,INE410P01011,539551,Narayana Hrudayalaya Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
NATIONALUM,INE139A01034,532234,National Aluminium Co. Ltd.,Metals & Mining,mid_small_cap,nifty_midsmallcap400
NAVA,INE725A01030,513023,Nava Ltd.,Power,mid_small_cap,nifty_midsmallcap400
NAVINFLUOR,INE048G01026,532504,Navin Fluorine International Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
NETWEB,INE0NT901020,543945,Netweb Technologies India Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
NEULANDLAB,INE794A01010,524558,Neuland Laboratories Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
NEWGEN,INE619B01017,540900,Newgen Software Technologies Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
NAM-INDIA,INE298J01013,540767,Nippon Life India Asset Management Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
NIVABUPA,INE995S01015,544293,Niva Bupa Health Insurance Company Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
NUVAMA,INE531F01023,543988,Nuvama Wealth Management Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
NUVOCO,INE118D01016,543334,Nuvoco Vistas Corporation Ltd.,Construction Materials,mid_small_cap,nifty_midsmallcap400
OBEROIRLTY,INE093I01010,533273,Oberoi Realty Ltd.,Realty,mid_small_cap,nifty_midsmallcap400
OIL,INE274J01014,533106,Oil India Ltd.,Oil Gas & Consumable Fuels,mid_small_cap,nifty_midsmallcap400
OLAELEC,INE0LXG01040,544239,Ola Electric Mobility Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
OLECTRA,INE260D01016,532439,Olectra Greentech Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
PAYTM,INE982J01020,543396,One 97 Communications Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
ONESOURCE,INE013P01021,Unlisted,Onesource Specialty Pharma Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
OFSS,INE881D01027,532466,Oracle Financial Services Software Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
POLICYBZR,INE417T01026,543390,PB Fintech Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
PCBL,INE602A01031,506590,PCBL Chemical Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
PGEL,INE457L01029,533581,PG Electroplast Ltd.,Consumer Durables,mid_small_cap,nifty_midsmallcap400
PIIND,INE603J01030,523642,PI Industries Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
PNBHOUSING,INE572E01012,540173,PNB Housing Finance Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
PTCIL,INE596F01018,539006,PTC Industries Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
PVRINOX,INE191H01014,532689,PVR INOX Ltd.,Media Entertainment & Publication,mid_small_cap,nifty_midsmallcap400
PAGEIND,INE761H01022,532827,Page Industries Ltd.,Textiles,mid_small_cap,nifty_midsmallcap400
PARADEEP,INE088F01024,543530,Paradeep Phosphates Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
PATANJALI,INE619A01035,500368,Patanjali Foods Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
PERSISTENT,INE262H01021,533179,Persistent Systems Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
PETRONET,INE347G01014,532522,Petronet LNG Ltd.,Oil Gas & Consumable Fuels,mid_small_cap,nifty_midsmallcap400
PFIZER,INE182A01018,500680,Pfizer Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
PHOENIXLTD,INE211B01039,503100,Phoenix Mills Ltd.,Realty,mid_small_cap,nifty_midsmallcap400
PWL,INE0LP301011,Unlisted,Physicswallah Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
PINELABS,INE15B701018,Unlisted,Pine Labs Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
PIRAMALFIN,INE202B01038,Unlisted,Piramal Finance Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
PPLPHARMA,INE0DK501011,543635,Piramal Pharma Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
POLYMED,INE205C01021,531768,Poly Medicure Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
POLYCAB,INE455K01017,542652,Polycab India Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
POONAWALLA,INE511C01022,524000,Poonawalla Fincorp Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
PREMIERENE,INE0BS701011,544234,Premier Energies Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
PRESTIGE,INE811K01011,533274,Prestige Estates Projects Ltd.,Realty,mid_small_cap,nifty_midsmallcap400
RRKABEL,INE777K01022,543981,R R Kabel Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
RBLBANK,INE976G01028,540065,RBL Bank Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
RHIM,INE743M01012,534076,RHI MAGNESITA INDIA LTD.,Capital Goods,mid_small_cap,nifty_midsmallcap400
RITES,INE320J01015,541556,RITES Ltd.,Construction,mid_small_cap,nifty_midsmallcap400
RADICO,INE944F01028,532497,Radico Khaitan Ltd,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
RVNL,INE415G01027,542649,Rail Vikas Nigam Ltd.,Construction,mid_small_cap,nifty_midsmallcap400
RAILTEL,INE0DD101019,543265,Railtel Corporation Of India Ltd.,Telecommunication,mid_small_cap,nifty_midsmallcap400
RAINBOW,INE961O01016,543524,Rainbow Childrens Medicare Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
RKFORGE,INE399G01023,532527,Ramkrishna Forgings Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
REDINGTON,INE891D01026,532805,Redington Ltd.,Services,mid_small_cap,nifty_midsmallcap400
RPOWER,INE614G01033,532939,Reliance Power Ltd.,Power,mid_small_cap,nifty_midsmallcap400
SBFC,INE423Y01016,543959,SBFC Finance Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
SBICARD,INE018E01016,543066,SBI Cards and Payment Services Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
SJVN,INE002L01015,533206,SJVN Ltd.,Power,mid_small_cap,nifty_midsmallcap400
SRF,INE647A01010,503806,SRF Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
SAGILITY,INE0W2G01015,544292,Sagility Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
SAILIFE,INE570L01029,Unlisted,Sai Life Sciences Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
SAMMAANCAP,INE148I01020,535789,Sammaan Capital Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
SAPPHIRE,INE806T01020,543397,Sapphire Foods India Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
SARDAEN,INE385C01021,504614,Sarda Energy and Minerals Ltd.,Metals & Mining,mid_small_cap,nifty_midsmallcap400
SAREGAMA,INE979A01025,532163,Saregama India Ltd,Media Entertainment & Publication,mid_small_cap,nifty_midsmallcap400
SCHAEFFLER,INE513A01022,505790,Schaeffler India Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
SCHNEIDER,INE839M01018,534139,Schneider Electric Infrastructure Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
SCI,INE109A01011,523598,Shipping Corporation of India Ltd.,Services,mid_small_cap,nifty_midsmallcap400
SHYAMMETL,INE810G01011,543299,Shyam Metalics and Energy Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
SIGNATURE,INE903U01023,543990,Signatureglobal (India) Ltd.,Realty,mid_small_cap,nifty_midsmallcap400
SOBHA,INE671H01015,532784,Sobha Ltd.,Realty,mid_small_cap,nifty_midsmallcap400
SONACOMS,INE073K01018,543300,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
SONATSOFTW,INE269A01021,532221,Sonata Software Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
STARHEALTH,INE575P01011,543412,Star Health and Allied Insurance Company Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
SAIL,INE114A01011,500113,Steel Authority of India Ltd.,Metals & Mining,mid_small_cap,nifty_midsmallcap400
SUMICHEM,INE258G01013,542920,Sumitomo Chemical India Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
SUNTV,INE424H01027,532733,Sun TV Network Ltd.,Media Entertainment & Publication,mid_small_cap,nifty_midsmallcap400
SUNDARMFIN,INE660A01013,590071,Sundaram Finance Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
SUPREMEIND,INE195A01028,509930,Supreme Industries Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
SPLPETRO,INE663A01033,500405,Supreme Petrochem Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
SUZLON,INE040H01021,532667,Suzlon Energy Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
SWANCORP,INE665A01038,503310,Swan Corp Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
SWIGGY,INE00H001014,544288,Swiggy Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
SYNGENE,INE398R01022,539268,Syngene International Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
SYRMA,INE0DYJ01015,543573,Syrma SGS Technology Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
TBOTEK,INE673O01025,544181,TBO Tek Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
TATACHEM,INE092A01019,500770,Tata Chemicals Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
TATACOMM,INE151A01013,500483,Tata Communications Ltd.,Telecommunication,mid_small_cap,nifty_midsmallcap400
TATAELXSI,INE670A01012,500408,Tata Elxsi Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
TATAINVEST,INE672A01026,501301,Tata Investment Corporation Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
TATATECH,INE142M01025,544028,Tata Technologies Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
TTML,INE517B01013,532371,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,mid_small_cap,nifty_midsmallcap400
TECHNOE,INE285K01026,542141,Techno Electric & Engineering Company Ltd.,Construction,mid_small_cap,nifty_midsmallcap400
TEGA,INE011K01018,543413,Tega Industries Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
TEJASNET,INE010J01012,540595,Tejas Networks Ltd.,Telecommunication,mid_small_cap,nifty_midsmallcap400
TENNIND,INE19RI01016,Unlisted,Tenneco Clean Air India Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
NIACL,INE470Y01017,541300,The New India Assurance Company Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
RAMCOCEM,INE331A01037,500260,The Ramco Cements Ltd.,Construction Materials,mid_small_cap,nifty_midsmallcap400
THERMAX,INE152A01029,500411,Thermax Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
TIMKEN,INE325A01013,522113,Timken India Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
TITAGARH,INE615H01020,532966,Titagarh Rail Systems Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
TORNTPOWER,INE813H01021,532779,Torrent Power Ltd.,Power,mid_small_cap,nifty_midsmallcap400
TARIL,INE763I01026,532928,Transformers And Rectifiers (India) Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
TRAVELFOOD,INE103V01028,Unlisted,Travel Food Services Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
TRIDENT,INE064C01022,521064,Trident Ltd.,Textiles,mid_small_cap,nifty_midsmallcap400
TRITURBINE,INE152M01016,533655,Triveni Turbine Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
TIINDIA,INE974X01010,540762,Tube Investments of India Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
UCOBANK,INE691A01018,532505,UCO Bank,Financial Services,mid_small_cap,nifty_midsmallcap400
UNOMINDA,INE405E01023,532539,UNO Minda Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
UPL,INE628A01036,512070,UPL Ltd.,Chemicals,mid_small_cap,nifty_midsmallcap400
UTIAMC,INE094J01016,543249,UTI Asset Management Company Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
UBL,INE686F01025,532478,United Breweries Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
URBANCO,INE0CAZ01013,Unlisted,Urban Company Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
USHAMART,INE228A01035,517146,Usha Martin Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
VTL,INE825A01020,502986,Vardhman Textiles Ltd.,Textiles,mid_small_cap,nifty_midsmallcap400
VIJAYA,INE043W01024,543350,Vijaya Diagnostic Centre Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
VMM,INE01EA01019,Unlisted,Vishal Mega Mart Ltd.,Consumer Services,mid_small_cap,nifty_midsmallcap400
IDEA,INE669E01016,532822,Vodafone Idea Ltd.,Telecommunication,mid_small_cap,nifty_midsmallcap400
VOLTAS,INE226A01021,500575,Voltas Ltd.,Consumer Durables,mid_small_cap,nifty_midsmallcap400
WAAREEENER,INE377N01017,544277,Waaree Energies Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
WELCORP,INE191B01025,532144,Welspun Corp Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
WELSPUNLIV,INE192B01031,514162,Welspun Living Ltd.,Textiles,mid_small_cap,nifty_midsmallcap400
WHIRLPOOL,INE716A01013,500238,Whirlpool of India Ltd.,Consumer Durables,mid_small_cap,nifty_midsmallcap400
WOCKPHARMA,INE049B01025,532300,Wockhardt Ltd.,Healthcare,mid_small_cap,nifty_midsmallcap400
YESBANK,INE528G01035,532648,Yes Bank Ltd.,Financial Services,mid_small_cap,nifty_midsmallcap400
ZFCVINDIA,INE342J01019,533023,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,mid_small_cap,nifty_midsmallcap400
ZEEL,INE256A01028,505537,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,mid_small_cap,nifty_midsmallcap400
ZENTEC,INE251B01027,533339,Zen Technologies Ltd.,Capital Goods,mid_small_cap,nifty_midsmallcap400
ZENSARTECH,INE520A01027,504067,Zensar Technolgies Ltd.,Information Technology,mid_small_cap,nifty_midsmallcap400
ZYDUSWELL,INE768C01028,531335,Zydus Wellness Ltd.,Fast Moving Consumer Goods,mid_small_cap,nifty_midsmallcap400
ECLERX,INE738I01010,532927,eClerx Services Ltd.,Services,mid_small_cap,nifty_midsmallcap400
,,,,,,
